date,home_team,score,away_team
18-05-2025,Sociedad,3 - 2,Girona
13-05-2025,Valladolid,0 - 1,Girona
10-05-2025,Girona,0 - 1,Villarreal
05-05-2025,Girona,1 - 0,Mallorca
24-04-2025,Leganes,1 - 1,Girona
21-04-2025,Girona,1 - 3,Betis
13-04-2025,Osasuna,2 - 1,Girona
05-04-2025,Girona,0 - 1,Alaves
30-03-2025,FC Barcelona,4 - 1,Girona
15-03-2025,Girona,1 - 1,Valencia
10-03-2025,Espanol,1 - 1,Girona
01-03-2025,Girona,2 - 2,Celta
23-02-2025,Real Madrid,2 - 0,Girona
14-02-2025,Girona,1 - 2,Getafe
08-02-2025,Ath Bilbao,3 - 0,Girona
03-02-2025,Girona,2 - 1,Las Palmas
26-01-2025,Vallecano,2 - 1,Girona
18-01-2025,Girona,1 - 2,Sevilla
11-01-2025,Alaves,0 - 1,Girona
20-12-2024,Girona,3 - 0,Valladolid
14-12-2024,Mallorca,2 - 1,Girona
07-12-2024,Girona,0 - 3,Real Madrid
01-12-2024,Villarreal,2 - 2,Girona
23-11-2024,Girona,4 - 1,Espanol
10-11-2024,Getafe,0 - 1,Girona
02-11-2024,Girona,4 - 3,Leganes
26-10-2024,Las Palmas,1 - 0,Girona
19-10-2024,Girona,0 - 1,Sociedad
06-10-2024,Girona,2 - 1,Ath Bilbao
29-09-2024,Celta,1 - 1,Girona
25-09-2024,Girona,0 - 0,Vallecano
21-09-2024,Valencia,2 - 0,Girona
15-09-2024,Girona,1 - 4,FC Barcelona
01-09-2024,Sevilla,0 - 2,Girona
29-08-2024,Girona,4 - 0,Osasuna
25-08-2024,Ath Madrid,3 - 0,Girona
15-08-2024,Betis,1 - 1,Girona
24-05-2025,Espanol,2 - 0,Las Palmas
18-05-2025,Las Palmas,0 - 1,Leganes
13-05-2025,Sevilla,1 - 0,Las Palmas
09-05-2025,Las Palmas,0 - 1,Vallecano
03-05-2025,Las Palmas,2 - 3,Valencia
23-04-2025,Ath Bilbao,1 - 0,Las Palmas
19-04-2025,Las Palmas,1 - 0,Ath Madrid
12-04-2025,Getafe,1 - 3,Las Palmas
06-04-2025,Las Palmas,1 - 3,Sociedad
31-03-2025,Celta,1 - 1,Las Palmas
14-03-2025,Las Palmas,2 - 2,Alaves
09-03-2025,Betis,1 - 0,Las Palmas
28-02-2025,Valladolid,1 - 1,Las Palmas
22-02-2025,Las Palmas,0 - 2,FC Barcelona
16-02-2025,Mallorca,3 - 1,Las Palmas
08-02-2025,Las Palmas,1 - 2,Villarreal
03-02-2025,Girona,2 - 1,Las Palmas
24-01-2025,Las Palmas,1 - 1,Osasuna
19-01-2025,Real Madrid,4 - 1,Las Palmas
12-01-2025,Las Palmas,1 - 2,Getafe
22-12-2024,Las Palmas,1 - 0,Espanol
15-12-2024,Sociedad,0 - 0,Las Palmas
07-12-2024,Las Palmas,2 - 1,Valladolid
30-11-2024,FC Barcelona,1 - 2,Las Palmas
23-11-2024,Las Palmas,2 - 3,Mallorca
08-11-2024,Vallecano,1 - 3,Las Palmas
03-11-2024,Ath Madrid,2 - 0,Las Palmas
26-10-2024,Las Palmas,1 - 0,Girona
21-10-2024,Valencia,2 - 3,Las Palmas
05-10-2024,Las Palmas,0 - 1,Celta
30-09-2024,Villarreal,3 - 1,Las Palmas
26-09-2024,Las Palmas,1 - 1,Betis
21-09-2024,Osasuna,2 - 1,Las Palmas
15-09-2024,Las Palmas,2 - 3,Ath Bilbao
01-09-2024,Alaves,2 - 0,Las Palmas
29-08-2024,Las Palmas,1 - 1,Real Madrid
25-08-2024,Leganes,2 - 1,Las Palmas
16-08-2024,Las Palmas,2 - 2,Sevilla
24-05-2025,Leganes,3 - 0,Valladolid
18-05-2025,Las Palmas,0 - 1,Leganes
14-05-2025,Villarreal,3 - 0,Leganes
11-05-2025,Leganes,3 - 2,Espanol
04-05-2025,Sevilla,2 - 2,Leganes
24-04-2025,Leganes,1 - 1,Girona
19-04-2025,Mallorca,0 - 0,Leganes
12-04-2025,Leganes,0 - 1,FC Barcelona
07-04-2025,Leganes,1 - 1,Osasuna
29-03-2025,Real Madrid,3 - 2,Leganes
16-03-2025,Leganes,2 - 3,Betis
08-03-2025,Celta,2 - 1,Leganes
02-03-2025,Leganes,1 - 0,Getafe
23-02-2025,Sociedad,3 - 0,Leganes
15-02-2025,Leganes,3 - 3,Alaves
09-02-2025,Valencia,2 - 0,Leganes
31-01-2025,Leganes,0 - 1,Vallecano
26-01-2025,Ath Bilbao,0 - 0,Leganes
18-01-2025,Leganes,1 - 0,Ath Madrid
11-01-2025,Espanol,1 - 1,Leganes
22-12-2024,Leganes,2 - 5,Villarreal
15-12-2024,FC Barcelona,0 - 1,Leganes
08-12-2024,Leganes,0 - 3,Sociedad
30-11-2024,Alaves,1 - 1,Leganes
24-11-2024,Leganes,0 - 3,Real Madrid
09-11-2024,Leganes,1 - 0,Sevilla
02-11-2024,Girona,4 - 3,Leganes
27-10-2024,Leganes,3 - 0,Celta
20-10-2024,Ath Madrid,3 - 1,Leganes
